Classwork,0.1,2016-03-23 19:26:00,2016-03-23 19:34:00
Classwork,0.1,2016-03-23 19:04:00,2016-03-23 19:12:00
Gaming,1.0,2016-03-23 15:31:00,2016-03-23 16:28:00
Classwork,0.4,2016-03-23 14:40:00,2016-03-23 15:05:00
Classwork,0.5,2016-03-23 11:23:00,2016-03-23 11:51:00
Eat,0.1,2016-03-23 11:00:00,2016-03-23 11:08:00
Eat,0.2,2016-03-23 10:43:00,2016-03-23 10:54:00
Classwork,0.6,2016-03-23 10:04:00,2016-03-23 10:41:00
Gaming,1.6,2016-03-23 00:03:00,2016-03-23 01:40:00
GRE,0.4,2016-03-22 23:20:00,2016-03-22 23:44:00
Classwork,2.2,2016-03-22 21:01:00,2016-03-22 23:13:00
Classwork,0.5,2016-03-22 20:15:00,2016-03-22 20:48:00
Gaming,1.7,2016-03-22 17:59:00,2016-03-22 19:39:00
Eat,1.6,2016-03-22 17:15:00,2016-03-22 18:48:00
Classwork,0.7,2016-03-22 13:01:00,2016-03-22 13:45:00
Classwork,0.5,2016-03-22 08:38:00,2016-03-22 09:09:00
GRE,0.2,2016-03-22 00:25:00,2016-03-22 00:36:00
GRE,0.5,2016-03-21 23:48:00,2016-03-22 00:16:00
GRE,0.0,2016-03-21 23:28:00,2016-03-21 23:30:00
Coding,0.0,2016-03-21 23:28:00,2016-03-21 23:28:00
Classwork,0.0,2016-03-21 23:28:00,2016-03-21 23:28:00
GRE,0.0,2016-03-21 23:28:00,2016-03-21 23:28:00
GRE,0.1,2016-03-21 23:19:00,2016-03-21 23:27:00
Classwork,1.5,2016-03-21 21:41:00,2016-03-21 23:11:00
Classwork,0.1,2016-03-21 21:31:00,2016-03-21 21:36:00
Classwork,0.0,2016-03-21 21:30:00,2016-03-21 21:30:00
Coding,0.5,2016-03-21 20:46:00,2016-03-21 21:18:00
Classwork,0.6,2016-03-21 20:12:00,2016-03-21 20:46:00
Sleep,6.554722222222222,2016-03-22 01:01:14,2016-03-22 07:34:31
Sleep,7.349166666666667,2016-03-23 02:01:09,2016-03-23 09:22:06
Sleep,3.995,2016-03-24 01:36:23,2016-03-24 05:36:05
Sleep,7.036666666666667,2016-03-25 01:06:07,2016-03-25 08:08:19
Sleep,7.392777777777778,2016-03-27 01:10:33,2016-03-27 08:34:07
Sleep,9.310555555555556,2016-03-27 22:47:15,2016-03-28 08:05:53
Class,0.8333333333333334,2016-03-21 12:10:00,2016-03-21 13:00:00
